Cancer Sites,Age Group ,Sex,Race,Deaths
Esophagus,45-49,Female,Asian or Pacific Islander,28
Esophagus,45-49,Female,Black or African American,393
Esophagus,45-49,Female,White,1121
Esophagus,45-49,Male,American Indian or Alaska Native,59
Esophagus,45-49,Male,Asian or Pacific Islander,159
Esophagus,45-49,Male,Black or African American,1165
Esophagus,45-49,Male,White,7213
Esophagus,50-54,Female,American Indian or Alaska Native,26
Esophagus,50-54,Female,Asian or Pacific Islander,65
Esophagus,50-54,Female,Black or African American,765
Esophagus,50-54,Female,White,2318
Esophagus,50-54,Male,American Indian or Alaska Native,91
Esophagus,50-54,Male,Asian or Pacific Islander,275
Esophagus,50-54,Male,Black or African American,2249
Esophagus,50-54,Male,White,14556
Esophagus,55-59,Female,American Indian or Alaska Native,38
Esophagus,55-59,Female,Asian or Pacific Islander,109
Esophagus,55-59,Female,Black or African American,1252
Esophagus,55-59,Female,White,3929
Esophagus,55-59,Male,American Indian or Alaska Native,196
Esophagus,55-59,Male,Asian or Pacific Islander,478
Esophagus,55-59,Male,Black or African American,3486
Esophagus,55-59,Male,White,24061
Esophagus,60-64,Female,American Indian or Alaska Native,57
Esophagus,60-64,Female,Asian or Pacific Islander,133
Esophagus,60-64,Female,Black or African American,1370
Esophagus,60-64,Female,White,5604
Esophagus,60-64,Male,American Indian or Alaska Native,197
Esophagus,60-64,Male,Asian or Pacific Islander,600
Esophagus,60-64,Male,Black or African American,4070
Esophagus,60-64,Male,White,32323
Esophagus,65-69,Female,American Indian or Alaska Native,44
Esophagus,65-69,Female,Asian or Pacific Islander,143
Esophagus,65-69,Female,Black or African American,1320
Esophagus,65-69,Female,White,6789
Esophagus,65-69,Male,American Indian or Alaska Native,189
Esophagus,65-69,Male,Asian or Pacific Islander,632
Esophagus,65-69,Male,Black or African American,3769
Esophagus,65-69,Male,White,35617
Esophagus,70-74,Female,American Indian or Alaska Native,40
Esophagus,70-74,Female,Asian or Pacific Islander,193
Esophagus,70-74,Female,Black or African American,1219
Esophagus,70-74,Female,White,8176
Esophagus,70-74,Male,American Indian or Alaska Native,182
Esophagus,70-74,Male,Asian or Pacific Islander,600
Esophagus,70-74,Male,Black or African American,3079
Esophagus,70-74,Male,White,35372
Esophagus,75-79,Female,American Indian or Alaska Native,48
Esophagus,75-79,Female,Asian or Pacific Islander,196
Esophagus,75-79,Female,Black or African American,1084
Esophagus,75-79,Female,White,8675
Esophagus,75-79,Male,American Indian or Alaska Native,112
Esophagus,75-79,Male,Asian or Pacific Islander,499
Esophagus,75-79,Male,Black or African American,2295
Esophagus,75-79,Male,White,31115
Esophagus,80-84,Female,American Indian or Alaska Native,35
Esophagus,80-84,Female,Asian or Pacific Islander,183
Esophagus,80-84,Female,Black or African American,850
Esophagus,80-84,Female,White,8522
Esophagus,80-84,Male,American Indian or Alaska Native,97
Esophagus,80-84,Male,Asian or Pacific Islander,395
Esophagus,80-84,Male,Black or African American,1368
Esophagus,80-84,Male,White,23772
Esophagus,85+,Female,American Indian or Alaska Native,34
Esophagus,85+,Female,Asian or Pacific Islander,250
Esophagus,85+,Female,Black or African American,817
Esophagus,85+,Female,White,11702
Esophagus,85+,Male,American Indian or Alaska Native,59
Esophagus,85+,Male,Asian or Pacific Islander,368
Esophagus,85+,Male,Black or African American,947
Esophagus,85+,Male,White,19788
Gallbladder,30-34,Female,White,33
Gallbladder,30-34,Male,White,20
Gallbladder,35-39,Female,Black or African American,26
Gallbladder,35-39,Female,White,91
Gallbladder,35-39,Male,White,42
Gallbladder,40-44,Female,Asian or Pacific Islander,16
Gallbladder,40-44,Female,Black or African American,78
Gallbladder,40-44,Female,White,271
Gallbladder,40-44,Male,Black or African American,28
Gallbladder,40-44,Male,White,119
Gallbladder,45-49,Female,Asian or Pacific Islander,40
Gallbladder,45-49,Female,Black or African American,168
Gallbladder,45-49,Female,White,584
Gallbladder,45-49,Male,Black or African American,53
Gallbladder,45-49,Male,White,241
Gallbladder,50-54,Female,American Indian or Alaska Native,23
Gallbladder,50-54,Female,Asian or Pacific Islander,69
Gallbladder,50-54,Female,Black or African American,327
Gallbladder,50-54,Female,White,1044
Gallbladder,50-54,Male,Asian or Pacific Islander,47
Gallbladder,50-54,Male,Black or African American,99
Gallbladder,50-54,Male,White,467
Gallbladder,55-59,Female,American Indian or Alaska Native,34
